Designator,Mid X,Mid Y,Layer,Rotation
A1,36.9358,65.8716,Bottom,90.000
CR1,8.2815,69.1440,Top,0.000
C1,5.2240,53.1720,Top,180.000
C2,15.2160,54.3640,Top,0.000
C3,28.0000,18.5000,Top,0.000
C4,49.8050,18.5520,Top,0.000
C7,27.9841,46.7400,Top,180.000
C8,28.5900,51.8820,Top,180.000
DRIVER1,43.2706,31.8620,Top,90.000
DRIVER2,21.6258,31.8372,Top,90.000
D1,14.5000,47.0126,Top,180.000
FAN,59.2500,66.5000,Top,0.000
I2C,47.2500,67.5000,Top,0.000
L1,6.3567,45.0000,Top,0.000
MOTOR1,39.1900,16.3422,Top,0.000
MOTOR2,17.4778,16.3422,Top,0.000
OLED,34.8110,66.3810,Top,0.000
POWER,0.9729,72.0340,Top,90.000
Q1,7.0000,31.0000,Top,270.000
REV_POLARITY,0.5974,60.7948,Top,0.000
ROTARY,18.7660,66.4290,Top,0.000
R1,9.6567,40.3577,Top,270.000
R2,37.1101,61.8508,Top,180.000
R3,57.0000,62.0000,Top,180.000
R4,56.5000,50.0000,Top,90.000
R5,42.4255,61.8820,Top,0.000
R6,56.5215,44.6846,Top,90.000
R7,8.8030,54.9590,Top,0.000
R8,15.2500,51.1560,Top,0.000
R9,7.6900,62.3394,Top,270.000
R10,51.7452,44.9820,Top,90.000
R11,36.0000,46.0000,Top,90.000
R12,34.5000,50.0000,Top,0.000
R13,51.7450,49.9819,Top,90.000
STEP_DOWN,22.7900,49.3100,Top,270.000
STEP_UP,5.9690,50.1810,Top,180.000
SWR,58.0390,30.0190,Top,90.000
TRANSMIT,7.1070,22.6210,Top,90.000
U1,43.5000,48.0000,Top,180.000
