Designator,Mid X,Mid Y,Rotation,Layer
A1,71.9358,-32.6284,270.0,bottom
C1,40.0,-44.209097,180.0,top
C2,50.216,-44.136,0.0,top
C3,63.0,-80.0,0.0,top
C4,84.805,-79.948,0.0,top
C7,63.1087,-51.76,180.0,top
C8,63.1246,-46.5,180.0,top
CR1,43.2815,-29.356,0.0,top
D1,49.5,-51.4874,180.0,top
DRIVER1,78.2706,-66.638,90.0,top
DRIVER2,56.6258,-66.6628,90.0,top
FAN1,94.2489,-31.9964,0.0,top
I2C1,82.25,-32.0,180.0,top
L1,41.35675,-53.5,0.0,top
MOTOR1,74.19,-82.1578,0.0,top
MOTOR2,52.4778,-82.1578,0.0,top
OLED1,69.7489,-31.9964,0.0,top
POWER1,35.9989,-26.2664,90.0,top
Q1,42.0,-67.5,270.0,top
R1,44.5,-59.5,270.0,top
R10,86.74515,-53.518,90.0,top
R11,69.5,-51.715889,0.0,top
R12,69.5,-46.5,0.0,top
R13,86.745,-47.5,90.0,top
R2,72.1101,-36.6492,180.0,top
R3,92.0,-36.5,180.0,top
R4,91.5,-47.5,90.0,top
R5,77.4255,-36.618,0.0,top
R6,91.5,-53.5,90.0,top
R7,44.986761,-44.133061,0.0,top
R8,50.25,-47.5,0.0,top
R9,42.69,-36.1606,270.0,top
REV_POLARITY1,35.9989,-36.3161,0.0,top
ROTARY1,53.785656,-32.071,0.0,top
STEP_DOWN1,57.994315,-49.210692,270.0,top
STEP_UP0,40.969,-48.319,180.0,top
SWR1,93.4989,-68.4964,90.0,top
TRANSMIT1,41.9989,-75.7664,90.0,top
U1,78.5,-50.5,180.0,top
