Designator,Footprint,Quantity,Value,LCSC Part #
A1,TEENSY_LONG_EXT,1,TEENSY_4.1,
"C1, C2",CAPC2012X110,2,22u,C45783
"C10, C7, C8, C9",CAPC2012X110,4,330n,C1740
"C3, C4",CAPPRD508W65D1000H1100B,2,100u,
CR1,SOT95P240X110-3N,1,BZX84C5V6,C148101
D1,SMB_ONS,1,SS34,C8678
"DRIVER1, DRIVER2",MODULE_TMC2209_SILENTSTEPSTICK,2,TMC2209_SILENTSTEPSTICK,
"FAN1, OLED1",B4B-XH-A,2,Conn_01x04,
"FB1, FB2, FB3",0805,3,FerriteBead,C15957
I2C1,B2B-XH-A,1,Conn_01x02,
L1,INDM5450X580,1,22u,C9391
"MOTOR1, MOTOR2",JST-4-PTH-VERT,2,Conn_01x04,
"POWER1, TRANSMIT1",1X02_2.54_SCREWTERM,2,Conn_01x02,
Q1,DIP762W50P254L650H455Q4B,1,PC817,C20612593
R1,RESC2012X65,1,470,C17710
"R10, R11",RESC2012X65,2,2.7k,C17530
"R12, R13",RESC2012X65,2,1k,C17513
"R2, R5, R7",RESC2012X65,3,2.2k,C17520
"R3, R4, R6",RESC2012X65,3,100k,C149504
R8,RESC2012X65,1,62k,C17783
R9,RESC2012X65,1,10k,C17414
REV_POLARITY1,TO252_DMP6180SK3_DIO,1,DMP6180SK3-13TO252_DMP6180SK3_DIO,C93034
ROTARY1,JST_B5B-XH-A,1,Conn_01x05,
STEP_DOWN1,TO-220-3,1,L7812CV,C105651
STEP_UP0,SOT95P280X145-6N,1,MT3608,C84817
SWR1,B3B-XH-A,1,JST_03,
U1,DIP794W45P254L959H508Q8,1,TLV2372IP,
