Designator,Mid X,Mid Y,Rotation,Layer
A1,71.9358,-32.6284,270.0,bottom
C1,40.0,-44.209097,180.0,top
C10,71.5,-76.641106,270.0,top
C2,50.216,-44.136,0.0,top
C3,63.0,-80.0,0.0,top
C4,84.805,-79.948,0.0,top
C7,69.466685,-56.999999,0.0,top
C8,63.1246,-46.5,180.0,top
C9,93.357542,-76.664866,270.0,top
CR1,43.4753,-35.5,0.0,top
D1,49.5,-51.4874,180.0,top
DRIVER1,78.2706,-66.638,90.0,top
DRIVER2,56.6258,-66.6628,90.0,top
FAN1,94.2489,-31.9964,0.0,top
FB1,40.331282,-29.0,270.0,top
FB2,90.857542,-76.496039,270.0,top
FB3,69.0,-76.5,270.0,top
I2C1,82.25,-32.0,180.0,top
L1,41.35675,-53.5,0.0,top
MOTOR1,74.19,-82.1578,0.0,top
MOTOR2,52.4778,-82.1578,0.0,top
OLED1,69.7489,-31.9964,0.0,top
POWER1,35.768622,-26.721095,90.0,top
Q1,42.0,-67.5,270.0,top
R1,44.5,-59.5,270.0,top
R10,86.74515,-53.518,90.0,top
R11,69.5,-51.0,0.0,top
R12,69.4754,-46.5,0.0,top
R13,86.745,-47.5,90.0,top
R2,72.1101,-36.6492,180.0,top
R3,92.0,-36.5,180.0,top
R4,91.5,-47.5,90.0,top
R5,77.4255,-36.618,0.0,top
R6,91.5,-53.5,90.0,top
R7,44.986761,-44.133061,0.0,top
R8,50.25,-47.5,0.0,top
R9,43.355287,-31.737177,180.0,top
REV_POLARITY1,36.0,-36.8197,0.0,top
ROTARY1,53.785656,-32.071,0.0,top
STEP_DOWN1,57.994315,-49.210692,270.0,top
STEP_UP0,40.969,-48.319,180.0,top
SWR1,93.4989,-68.4964,90.0,top
TRANSMIT1,41.9989,-75.7664,90.0,top
U1,78.5,-50.5,180.0,top
